id,name,capacity,grass,city,state
3670,Carter-Finley Stadium,58000,True,Raleigh,NC
3671,Case Field,2400,False,Cleveland,OH
5881,CAU Panther Stadium,5000,,Atlanta,GA
5784,Cebe Ross Field,3000,,Buckhannon,WV
3625,Centennial Bank Stadium,30382,False,Jonesboro,AR
3673,CenturyLink Field,69000,False,Seattle,WA
5836,Chalmers Field,4000,,Dubuque,IA
3675,Charles A. Gaetano Stadium,1200,,Utica,NY
5855,Charles A. Henry Field,2500,,Hiram,OH
5796,Charles D. Lindberg Stadium,1800,,Rock Island,IL
3690,Charles L. Currier Memorial Field,3000,,Plymouth,NH
3915,Charles Lee Field at Samford Stadium,2500,,Montgomery,AL
5875,Charlie W. Johnson Stadium,10000,,Columbia,SC
4251,Chase Field,0,False,Phoenix,AZ
5874,Chet Anderson Stadium,3500,,Bemidji,MN
7232,Children's Health Stadium,12000,,Prosper,TX
3486,Children's Mercy Park,18467,True,Kansas City,KS
3676,Christy Mathewson-Memorial Stadium,13100,False,Lewisburg,PA
4431,Chryst Field at Biemesderfer Stadium,5300,,Millersville,PA
3677,Chuck Noll Field,1050,,Latrobe,PA
3684,Citrus Stadium,10000,,Azusa,CA
3678,City Stadium (VA),0,,Lynchburg,VA
7220,Clarence T.C. Ching Athletics Complex,9000,True,Honolulu,HI
5823,Clark Field,2200,,Cedar Rapids,IA
5940,Clean Harbors Stadium,2300,,Buzzards Bay,MA
5117,Clemens Stadium,7482,,Collegeville,MN
6065,Cliff Harris Stadium,3060,,Arkadelphia,AR
3681,Coffey Field,7000,False,The Bronx,NY
3683,Commonwealth Stadium,61000,False,Lexington,KY
5903,Community Stadium at Goerke Park,4000,,Stevens Point,WI
5826,Concordia Stadium,1500,,River Forest,IL
5871,Convoy Leslie Cotton Boll Stadium,3650,,Monticello,AR
6111,Cook Stadium,2500,,Terre Haute,IN
3847,Cooper Field,3750,False,Washington,DC
6141,Corwin Stadium,3000,,Middletown,CT
499,Cotton Bowl,92100,False,Dallas,TX
3685,Coughlin-Alumni Stadium,16700,False,Brookings,SD
5237,Coughlin-Alumni Stadium,19340,True,Brookings,SD
3686,Cowboy Stadium,17610,False,Lake Charles,LA
5810,Coyer Field,3000,,Buffalo,NY
6055,Craig Field at Spratt Memorial Stadium,7200,,Saint Joseph,MO
6064,Crain Family Stadium,4000,,Shawnee,OK
6108,Crain Field,4000,,Memphis,TN
