team,stat_name,stat_value,season
Louisiana Monroe,interceptionYards,111,2020
Middle Tennessee,kickReturnYards,395,2020
Syracuse,passesIntercepted,13,2020
North Carolina,kickReturns,11,2020
Coastal Carolina,totalYards,5400,2020
Duke,puntReturnYards,212,2020
UMass,penalties,21,2020
Purdue,fumblesRecovered,4,2020
Louisiana Monroe,kickReturnTDs,0,2020
New Mexico,rushingYards,1370,2020
Missouri,firstDowns,222,2020
Central Michigan,fumblesRecovered,7,2020
Tulsa,puntReturnTDs,0,2020
Arkansas,puntReturnYards,18,2020
Memphis,passesIntercepted,12,2020
Pittsburgh,fourthDownConversions,9,2020
Navy,totalYards,2750,2020
Ball State,possessionTime,14345,2020
SMU,penaltyYards,617,2020
Eastern Michigan,interceptions,6,2020
Arizona,puntReturnYards,35,2020
Texas Tech,rushingTDs,17,2020
Georgia Tech,kickReturns,21,2020
Notre Dame,puntReturnYards,128,2020
USC,rushingTDs,8,2020
Nebraska,penaltyYards,485,2020
California,tacklesForLoss,20,2020
Ball State,fourthDownConversions,7,2020
LSU,puntReturns,12,2020
San Diego State,tacklesForLoss,64,2020
Fresno State,passAttempts,247,2020
Oklahoma State,passAttempts,340,2020
Army,puntReturnTDs,0,2020
Coastal Carolina,passesIntercepted,16,2020
Duke,rushingTDs,19,2020
Kentucky,thirdDownConversions,52,2020
Mississippi State,passCompletions,373,2020
Arkansas State,interceptionYards,115,2020
UCLA,thirdDownConversions,43,2020
Georgia Southern,fumblesRecovered,8,2020
Louisiana Monroe,kickReturnYards,758,2020
Georgia Southern,puntReturnYards,200,2020
Florida International,kickReturns,23,2020
Cincinnati,kickReturns,17,2020
Louisiana Tech,sacks,17,2020
Miami (OH),fumblesLost,1,2020
Baylor,passingTDs,14,2020
Buffalo,tacklesForLoss,37,2020
Northern Illinois,fourthDownConversions,12,2020
Kent State,rushingAttempts,199,2020
Stanford,fumblesLost,1,2020
UMass,rushingTDs,0,2020
Auburn,interceptionTDs,1,2020
Vanderbilt,passCompletions,192,2020
Louisville,penalties,69,2020
Clemson,tacklesForLoss,109,2020
North Texas,passCompletions,185,2020
Tulane,kickReturnTDs,0,2020
Michigan State,fumblesLost,8,2020
Michigan State,passingTDs,11,2020
Ole Miss,penalties,60,2020
UAB,fourthDowns,7,2020
Cincinnati,kickReturnYards,476,2020
East Carolina,fumblesRecovered,10,2020
Navy,passCompletions,57,2020
Rutgers,rushingYards,1261,2020
Purdue,rushingYards,488,2020
Army,tacklesForLoss,70,2020
UTEP,passAttempts,239,2020
Charlotte,puntReturns,6,2020
South Carolina,penalties,49,2020
Ohio,penalties,21,2020
Coastal Carolina,kickReturns,19,2020
Ole Miss,firstDowns,276,2020
Wisconsin,kickReturnYards,251,2020
Michigan State,rushingTDs,2,2020
Mississippi State,puntReturns,10,2020
UCF,netPassingYards,3521,2020
Western Kentucky,passesIntercepted,6,2020
Virginia,interceptions,14,2020
Utah State,rushingYards,840,2020
Northwestern,kickReturnYards,235,2020
Iowa,rushingAttempts,296,2020
Oklahoma State,penalties,73,2020
Florida Atlantic,rushingTDs,12,2020
Missouri,interceptionYards,67,2020
Georgia Southern,passesIntercepted,18,2020
South Carolina,kickReturnTDs,0,2020
Boston College,games,11,2020
Duke,interceptions,19,2020
Penn State,kickReturnTDs,0,2020
Florida Atlantic,passCompletions,122,2020
Tulane,thirdDowns,150,2020
Baylor,thirdDowns,142,2020
West Virginia,penalties,82,2020
Florida Atlantic,puntReturns,10,2020
Wisconsin,sacks,11,2020
UMass,fourthDowns,9,2020
Texas State,totalYards,4441,2020
Akron,interceptionTDs,0,2020
South Alabama,rushingYards,1238,2020
Wake Forest,penalties,48,2020
Hawai'i,kickReturnTDs,1,2020
Temple,kickReturnYards,228,2020
Purdue,interceptions,4,2020
Florida International,possessionTime,7802,2020
Penn State,firstDowns,223,2020
Clemson,rushingTDs,33,2020
Ole Miss,games,10,2020
South Florida,puntReturnYards,71,2020
Hawai'i,puntReturns,12,2020
Oregon State,fourthDowns,19,2020
Navy,puntReturnYards,26,2020
Coastal Carolina,interceptions,5,2020
UCF,passCompletions,244,2020
Oregon State,thirdDowns,99,2020
Colorado State,puntReturnTDs,0,2020
Mississippi State,totalYards,3744,2020
Northern Illinois,passCompletions,127,2020
Hawai'i,possessionTime,15495,2020
Ball State,totalYards,3578,2020
Northwestern,interceptionYards,17,2020
South Alabama,penaltyYards,384,2020
Utah State,rushingAttempts,192,2020
Tulane,thirdDownConversions,52,2020
Virginia Tech,fourthDownConversions,7,2020
Pittsburgh,fourthDowns,18,2020
