play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
401235996102905206,401235996,4,2020,Kansas State,Oklahoma,0,14,48,2,7,Completion,17
401235996102905206,401235996,4,2020,Kansas State,Oklahoma,0,14,48,2,7,Reception,17
401235996102905202,401235996,4,2020,Kansas State,Oklahoma,0,14,64,2,9,Completion,2
401235996102905202,401235996,4,2020,Kansas State,Oklahoma,0,14,64,2,9,Reception,2
401235996102948901,401235996,4,2020,Kansas State,Oklahoma,7,14,39,3,18,Completion,39
401235996102948901,401235996,4,2020,Kansas State,Oklahoma,7,14,39,3,18,Reception,39
401235996102948901,401235996,4,2020,Kansas State,Oklahoma,7,14,39,3,18,Touchdown,1
401235996102948901,401235996,4,2020,Kansas State,Oklahoma,7,14,39,3,18,Touchdown,1
401235996102905203,401235996,4,2020,Kansas State,Oklahoma,0,14,62,3,7,Completion,6
401235996102905203,401235996,4,2020,Kansas State,Oklahoma,0,14,62,3,7,Reception,6
401235996102905208,401235996,4,2020,Kansas State,Oklahoma,0,14,39,2,18,Incompletion,1
401235996102905208,401235996,4,2020,Kansas State,Oklahoma,0,14,39,2,18,Target,1
401235996102905201,401235996,4,2020,Kansas State,Oklahoma,0,14,65,1,10,Rush,1
401235996102905205,401235996,4,2020,Kansas State,Oklahoma,0,14,51,1,10,Rush,3
401235996102905207,401235996,4,2020,Kansas State,Oklahoma,0,14,31,1,10,Rush,-8
401235996102896003,401235996,4,2020,Kansas State,Oklahoma,0,14,69,1,10,Interception,1
401235996102854904,401235996,4,2020,Kansas State,Oklahoma,0,14,80,1,10,Rush,3
401235996102854908,401235996,4,2020,Kansas State,Oklahoma,0,14,69,1,10,Completion,6
401235996102854908,401235996,4,2020,Kansas State,Oklahoma,0,14,69,1,10,Reception,6
401235996102854911,401235996,4,2020,Kansas State,Oklahoma,0,14,66,3,7,Completion,6
401235996102854911,401235996,4,2020,Kansas State,Oklahoma,0,14,66,3,7,Reception,6
401235996102854905,401235996,4,2020,Kansas State,Oklahoma,0,14,77,2,7,Rush,3
401235996102854909,401235996,4,2020,Kansas State,Oklahoma,0,14,63,2,4,Rush,2
401235996101947005,401235996,4,2020,Kansas State,Oklahoma,0,7,75,2,10,Rush,-5
401235996101947005,401235996,4,2020,Kansas State,Oklahoma,0,7,75,2,10,Fumble,1
401235996101947004,401235996,4,2020,Kansas State,Oklahoma,0,7,75,1,10,Incompletion,1
401235996101947004,401235996,4,2020,Kansas State,Oklahoma,0,7,75,1,10,Target,1
401235996101947006,401235996,4,2020,Kansas State,Oklahoma,0,7,78,3,13,Completion,7
401235996101947006,401235996,4,2020,Kansas State,Oklahoma,0,7,78,3,13,Reception,7
401235996101849909,401235996,4,2020,Kansas State,Oklahoma,0,0,67,1,10,Rush,2
401235996101849910,401235996,4,2020,Kansas State,Oklahoma,0,0,65,2,8,Rush,6
401235996101849911,401235996,4,2020,Kansas State,Oklahoma,0,0,59,3,2,Rush,0
401235996101849908,401235996,4,2020,Kansas State,Oklahoma,0,0,34,2,5,Interception,1
401235996104918201,401235996,4,2020,Kansas State,Oklahoma,35,35,38,2,10,Rush,38
401235996104918201,401235996,4,2020,Kansas State,Oklahoma,35,35,38,2,10,Touchdown,1
401235996104917201,401235996,4,2020,Kansas State,Oklahoma,28,35,38,1,10,Incompletion,1
401235996104917201,401235996,4,2020,Kansas State,Oklahoma,28,35,38,1,10,Target,1
401235996103988404,401235996,4,2020,Kansas State,Oklahoma,21,35,53,2,10,Rush,3
401235996104849902,401235996,4,2020,Kansas State,Oklahoma,21,35,15,1,10,Rush,6
401235996104849904,401235996,4,2020,Kansas State,Oklahoma,21,35,9,3,4,Rush,3
401235996104849905,401235996,4,2020,Kansas State,Oklahoma,21,35,6,4,1,Rush,2
401235996104877101,401235996,4,2020,Kansas State,Oklahoma,28,35,4,1,4,Rush,4
401235996104877101,401235996,4,2020,Kansas State,Oklahoma,28,35,4,1,4,Touchdown,1
401235996103988403,401235996,4,2020,Kansas State,Oklahoma,21,35,53,1,10,Incompletion,1
401235996103988403,401235996,4,2020,Kansas State,Oklahoma,21,35,53,1,10,Target,1
401235996104849903,401235996,4,2020,Kansas State,Oklahoma,21,35,9,2,4,Completion,0
401235996104849903,401235996,4,2020,Kansas State,Oklahoma,21,35,9,2,4,Reception,0
401235996103988405,401235996,4,2020,Kansas State,Oklahoma,21,35,50,3,7,Completion,35
401235996103988405,401235996,4,2020,Kansas State,Oklahoma,21,35,50,3,7,Reception,35
401235996103986305,401235996,4,2020,Kansas State,Oklahoma,21,35,58,1,10,Fumble Forced,1
401235996103986301,401235996,4,2020,Kansas State,Oklahoma,21,35,2,1,2,Rush,2
401235996103986301,401235996,4,2020,Kansas State,Oklahoma,21,35,2,1,2,Touchdown,1
401235996103975305,401235996,4,2020,Kansas State,Oklahoma,14,35,80,1,15,Incompletion,1
401235996103975305,401235996,4,2020,Kansas State,Oklahoma,14,35,80,1,15,Target,1
401235996103975306,401235996,4,2020,Kansas State,Oklahoma,14,35,80,2,15,Completion,78
401235996103975306,401235996,4,2020,Kansas State,Oklahoma,14,35,80,2,15,Reception,78
401235996103949901,401235996,4,2020,Kansas State,Oklahoma,14,28,1,2,1,Rush,1
401235996103907401,401235996,4,2020,Kansas State,Oklahoma,7,21,57,1,10,Sack Taken,7
401235996103907402,401235996,4,2020,Kansas State,Oklahoma,7,21,64,2,17,Incompletion,1
401235996103907402,401235996,4,2020,Kansas State,Oklahoma,7,21,64,2,17,Target,1
401235996103907403,401235996,4,2020,Kansas State,Oklahoma,7,21,64,3,17,Completion,11
401235996103907403,401235996,4,2020,Kansas State,Oklahoma,7,21,64,3,17,Reception,11
401235996103849904,401235996,4,2020,Kansas State,Oklahoma,7,21,69,2,4,Rush,2
401235996103849903,401235996,4,2020,Kansas State,Oklahoma,7,21,75,1,10,Completion,6
401235996103849903,401235996,4,2020,Kansas State,Oklahoma,7,21,75,1,10,Reception,6
401235996103849905,401235996,4,2020,Kansas State,Oklahoma,7,21,67,3,2,Completion,-3
401235996103849905,401235996,4,2020,Kansas State,Oklahoma,7,21,67,3,2,Reception,-3
401235996102995505,401235996,4,2020,Kansas State,Oklahoma,7,21,86,1,15,Rush,1
401235996104995002,401235996,4,2020,Kansas State,Oklahoma,38,35,76,2,10,Interception,1
401235996104975001,401235996,4,2020,Kansas State,Oklahoma,38,35,73,1,10,Rush,-3
401235996104975503,401235996,4,2020,Kansas State,Oklahoma,38,35,81,2,18,Completion,7
401235996104975503,401235996,4,2020,Kansas State,Oklahoma,38,35,81,2,18,Reception,7
401235996104985702,401235996,4,2020,Kansas State,Oklahoma,38,35,74,3,11,Completion,8
401235996104985702,401235996,4,2020,Kansas State,Oklahoma,38,35,74,3,11,Reception,8
401235996104956707,401235996,4,2020,Kansas State,Oklahoma,38,35,72,3,7,Pass Breakup,1
401235996104936702,401235996,4,2020,Kansas State,Oklahoma,35,35,38,1,10,Rush,2
