id,first_name,last_name,position,team_id
957,Joe,Smith,,10
958,Alan,Henderson,,1
959,Travis,Best,,12
960,Damon,Stoudamire,,28
961,Jimmy,King,,28
962,Ed,O'Bannon,,3
963,Lou,Roe,,9
964,Theo,Ratliff,,9
965,Antonio,McDyess,,8
966,Bob,Sura,,6
967,Donny,Marshall,,6
968,John,Amaechi,,6
969,Tyus,Edney,,26
970,Jerome,Allen,,18
971,Kevin,Garnett,,18
972,Mark,Davis,,18
973,Marques,Bragg,,18
974,Shawn,Respert,,17
975,Fred,Hoiberg,,12
976,Frankie,King,,14
977,Don,Reid,,9
978,Kurt,Thomas,,16
979,Sasha,Danilovic,,16
980,Terrence,Rencher,,16
981,Cory,Alexander,,27
982,Howard,Nathan,,1
983,Todd,Mundt,,1
984,David,Vaughn,,22
985,Log,Vander Velden,,13
986,Ashraf,Amaya,,15
987,Stefano,Rusconi,,24
988,Larry,Sykes,,2
989,Vincenzo,Esposito,,28
990,Corliss,Williamson,,26
991,Rastko,Cvetkovic,,8
992,Corey,Beck,,4
993,Voshon,Lenard,,16
994,Anthony,Goldwire,,4
995,Andrew,DeClercq,,10
996,Richard,Manning,,15
997,Clint,McDaniel,,26
998,Martin,Lewis,,28
999,Dwayne,Whitfield,,28
1000,Mario,Bennett,,24
1001,Melvin,Booker,,11
1002,Darryl,Johnson,,6
1003,John,Coker,,24
1004,Donnie,Boyce,,1
1005,Thomas,Hamilton,,2
1006,Robert,Churchwell,,10
1007,Cuonzo,Martin,,15
1008,Cedric,Lewis,,30
1009,Antoine,Walker,F,2
1010,Brett,Szabo,,2
1011,Brent,Scott,,12
1012,Erick,Dampier,,12
1013,Jerome,Williams,,9
1014,John,Wallace,,20
1015,Walter,McCarty,,20
1016,Marcus,Camby,,28
1017,Donald,Whiteside,,28
1018,Shareef,Abdur-Rahim,F,15
1019,Roy,Rogers,,15
1020,Ben,Wallace,,30
1021,Reggie,Geary,,6
1022,Vitaly,Potapenko,,6
1023,Ed,O'Bannon,F,3
1024,Kerry,Kittles,,3
1025,Erick,Strickland,,7
1026,Darvin,Ham,,8
1027,Stephon,Marbury,G,18
1028,Shane,Heal,,18
1029,Dean,Garrett,,18
1030,Priest,Lauderdale,,1
1031,Ike,Austin,,16
1032,Loy,Vaught,F,13
1033,Lorenzen,Wright,,13
1034,Todd,Fuller,C,10
1035,Ray,Owes,,10
1036,Ray,Allen,G,17
1037,Allen,Iverson,G,23
1038,Mark,Bradtke,,23
1039,Steve,Nash,,24
1040,Ben,Davis,,24
1041,Derek,Fisher,,14
1042,Travis,Knight,,14
1043,Kobe,Bryant,,14
1044,Matt,Maloney,G,11
1045,Othella,Harrington,,11
1046,Randy,Livingston,,11
1047,Emanual,Davis,,11
1048,Shandon,Anderson,,29
1049,Malik,Rose,,4
1050,Tony,Delk,,4
1051,Jeff,McInnis,,8
1052,Dontae',Jones,,20
1053,Nate,Driggers,,2
1054,Samaki,Walker,,7
1055,Amal,McCaskill,,22
1056,James,Scott,,16
1057,Mark,Hendrickson,,23
1058,Aleksandar,Djordjevic,,25
1059,Jermaine,O'Neal,,25
1060,Chris,Robinson,,15
