id,season,home_id,home_team,away_id,away_team
401418834,2022,2449,North Dakota State,2287,Illinois State
401431558,2022,2838,Tiffin,2886,Northwood (MI)
401432842,2022,509,Crown College,2257,Greenville
401403929,2022,2579,South Carolina,142,Missouri
401418789,2022,155,North Dakota,2000,Abilene Christian
401432828,2022,2850,Whittier,17,Claremont
401426363,2022,2032,Arkansas State,6,South Alabama
401430677,2022,2220,Fayetteville State,2551,Shaw
401424944,2022,50,Florida A&M,2029,Arkansas-Pine Bluff
401413240,2022,331,Eastern Washington,2502,Portland State
401431455,2022,2264,Harding,2823,Northwestern Oklahoma State
401435178,2022,2486,Pacific Lutheran,2930,Willamette
401413221,2022,2046,Austin Peay,55,Jacksonville State
401432835,2022,29,Redlands,2923,Pomona-Pitzer
401431909,2022,2201,Eastern New Mexico,110243,University of Texas of the Permian Basin
401433129,2022,2444,Newberry,2336,Limestone
401435173,2022,2333,Lewis & Clark,205,Pacific (OR)
401432660,2022,2721,Whitworth,2508,Puget Sound
401420867,2022,2320,Lamar,2447,Nicholls
401432643,2022,415,George Fox University,203,Linfield
401431858,2022,110242,West Florida,2695,West Alabama
401418780,2022,2110,Central Arkansas,2453,North Alabama
401441336,2022,2542,Savannah State,2232,Fort Valley State
401431848,2022,2698,West Georgia,2560,Shorter
401431496,2022,2292,Indianapolis,2402,Missouri S&T
401432854,2022,583,Northwestern (MN),2399,Minnesota-Morris
401432769,2022,2242,Geneva College,2062,Bethany (WV)
401432613,2022,2980,Ohio Wesleyan,391,Oberlin
401431830,2022,2401,Mississippi College,2170,Delta State
401404022,2022,12,Arizona,30,USC
401403930,2022,2633,Tennessee,96,Kentucky
401426595,2022,2226,Florida Atlantic,5,UAB
401426362,2022,276,Marshall,324,Coastal Carolina
401413231,2022,302,UC Davis,13,Cal Poly
401415246,2022,68,Boise State,36,Colorado State
401404101,2022,2641,Texas Tech,239,Baylor
401404023,2022,38,Colorado,9,Arizona State
401403931,2022,245,Texas A&M,145,Ole Miss
401405125,2022,130,Michigan,127,Michigan State
401411149,2022,153,North Carolina,221,Pittsburgh
401462518,2022,2627,Tarleton State,2534,Sam Houston State
401462225,2022,2377,McNeese,2545,Southeastern Louisiana
401431617,2022,2395,Midwestern State,2848,Western Oregon
401431607,2022,2829,Simon Fraser,2025,Angelo State
401426596,2022,2638,UTEP,2393,Middle Tennessee
401413251,2022,16,Sacramento State,70,Idaho
401431598,2022,2120,Central Washington,2658,Texas A&M-Kingsville
401439552,2022,2094,Cal Lutheran,2318,La Verne
401404025,2022,26,UCLA,24,Stanford
401415248,2022,278,Fresno State,21,San Diego State
401415249,2022,23,San José State,2440,Nevada
401415247,2022,62,Hawai'i,2751,Wyoming
401416632,2022,2309,Kent State,2050,Ball State
401416633,2022,195,Ohio,2084,Buffalo
401416635,2022,189,Bowling Green,2711,Western Michigan
401416634,2022,2459,Northern Illinois,2117,Central Michigan
401426601,2022,242,Rice,2638,UTEP
401423445,2022,2400,Mississippi Valley State,2010,Alabama A&M
401426364,2022,324,Coastal Carolina,2026,Appalachian State
401411151,2022,103,Boston College,150,Duke
401404155,2022,41,Connecticut,113,UMass
401424933,2022,2504,Prairie View,2016,Alcorn State
401404031,2022,264,Washington,204,Oregon State
401404141,2022,349,Army,2005,Air Force
401415649,2022,202,Tulsa,2655,Tulane
401426598,2022,2429,Charlotte,98,Western Kentucky
401405130,2022,2509,Purdue,2294,Iowa
401404108,2022,2628,TCU,2641,Texas Tech
401428199,2022,2127,Charleston Southern,2523,Robert Morris
401403936,2022,142,Missouri,96,Kentucky
401438640,2022,2808,Delaware Valley,2221,FDU-Florham
401438655,2022,2843,Western Connecticut State,114,Fitchburg State
401441957,2022,402,Worcester State College,2909,Westfield State
401405129,2022,77,Northwestern,194,Ohio State
401403937,2022,245,Texas A&M,57,Florida
401411156,2022,258,Virginia,153,North Carolina
401431158,2022,2354,Lycoming,2725,Widener
401431168,2022,110,Mass Maritime,2972,Plymouth State
401405131,2022,275,Wisconsin,120,Maryland
401405128,2022,158,Nebraska,135,Minnesota
401444594,2022,18,Bridgewater State,2967,Framingham State
401461253,2022,452,Endicott College,2776,Salve Regina
401441885,2022,2986,Fairmont State,2249,Glenville State
401433020,2022,2315,Kutztown,223,West Chester
401455579,2022,2060,Bentley,2022,American International
401433154,2022,124180,Bluefield,124179,Lincoln University (CA)
401423422,2022,2184,Duquesne,2529,Sacred Heart
401431839,2022,2560,Shorter,2822,North Greenville
401432390,2022,2830,St. Anselm,2038,Assumption
401445232,2022,2336,Limestone,122666,Barton College
401420794,2022,2448,North Carolina A&T,2450,Norfolk State
401415193,2022,43,Yale,225,Brown
401432133,2022,587,Notre Dame College,2882,UNC Pembroke
401432558,2022,237,Union,175,Ithaca
401430700,2022,330,Virginia State,2676,Virginia Union
401423002,2022,107,Holy Cross,2329,Lehigh
401432996,2022,2858,California (PA),367,Gannon
401443120,2022,247,King's College (PA),2969,Misericordia
401438632,2022,2557,Coast Guard,2749,Worcester Polytechnic
401450144,2022,246,Juniata,2667,Ursinus
401433403,2022,2528,Rensselaer,2779,St Lawrence
401439540,2022,81,Springfield,109,MIT
401431057,2022,2280,Husson,2884,Nichols
401435138,2022,2467,Norwich,2108,Catholic University
401435097,2022,184,Rochester,173,Hartwick
401432550,2022,3162,Alfred State College,417,Gallaudet
401438627,2022,110438,Dean College,15,Anna Maria College
401432886,2022,286,NC Wesleyan,2938,Huntingdon
401456158,2022,2015,Albright,111674,Alvernia University
401432770,2022,2644,Thiel College,2242,Geneva College
