first_name,last_name,year,wins,losses,ties,school
Bill,Cubit,2005,7,4,0,Western Michigan
Bill,Cubit,2006,8,5,0,Western Michigan
Bill,Cubit,2007,5,7,0,Western Michigan
Bill,Cubit,2008,9,4,0,Western Michigan
Bill,Cubit,2009,5,7,0,Western Michigan
Bill,Cubit,2010,6,6,0,Western Michigan
Bill,Cubit,2011,7,6,0,Western Michigan
Bill,Cubit,2012,4,8,0,Western Michigan
Bill,Cubit,2015,5,7,0,Illinois
Sonny,Cumbie,2021,2,3,0,Texas Tech
Sonny,Cumbie,2022,0,0,0,Louisiana Tech
David,Cutcliffe,2000,7,5,0,Ole Miss
David,Cutcliffe,2001,7,4,0,Ole Miss
David,Cutcliffe,2002,7,6,0,Ole Miss
David,Cutcliffe,2003,10,3,0,Ole Miss
David,Cutcliffe,2004,4,7,0,Ole Miss
David,Cutcliffe,2008,4,8,0,Duke
David,Cutcliffe,2009,5,7,0,Duke
David,Cutcliffe,2010,3,9,0,Duke
David,Cutcliffe,2011,3,9,0,Duke
David,Cutcliffe,2012,6,7,0,Duke
David,Cutcliffe,2013,10,4,0,Duke
David,Cutcliffe,2014,9,4,0,Duke
David,Cutcliffe,2015,8,5,0,Duke
David,Cutcliffe,2016,4,8,0,Duke
David,Cutcliffe,2017,7,6,0,Duke
David,Cutcliffe,2018,8,5,0,Duke
David,Cutcliffe,2019,5,7,0,Duke
David,Cutcliffe,2020,2,9,0,Duke
David,Cutcliffe,2021,3,9,0,Duke
Mark,Dantonio,2004,7,5,0,Cincinnati
Mark,Dantonio,2005,4,7,0,Cincinnati
Mark,Dantonio,2006,7,5,0,Cincinnati
Mark,Dantonio,2007,7,6,0,Michigan State
Mark,Dantonio,2008,9,4,0,Michigan State
Mark,Dantonio,2009,6,7,0,Michigan State
Mark,Dantonio,2010,11,2,0,Michigan State
Mark,Dantonio,2011,11,3,0,Michigan State
Mark,Dantonio,2012,7,6,0,Michigan State
Mark,Dantonio,2013,13,1,0,Michigan State
Mark,Dantonio,2014,11,2,0,Michigan State
Mark,Dantonio,2015,12,2,0,Michigan State
Mark,Dantonio,2016,3,9,0,Michigan State
Mark,Dantonio,2017,10,3,0,Michigan State
Mark,Dantonio,2018,7,6,0,Michigan State
Mark,Dantonio,2019,7,6,0,Michigan State
Gary,Darnell,2000,9,3,0,Western Michigan
Gary,Darnell,2001,5,6,0,Western Michigan
Gary,Darnell,2002,4,8,0,Western Michigan
Gary,Darnell,2003,5,7,0,Western Michigan
Gary,Darnell,2004,1,10,0,Western Michigan
Bob,Davie,2000,9,3,0,Notre Dame
Bob,Davie,2001,5,6,0,Notre Dame
Bob,Davie,2012,4,9,0,New Mexico
Bob,Davie,2013,3,9,0,New Mexico
Bob,Davie,2014,4,8,0,New Mexico
Bob,Davie,2015,7,6,0,New Mexico
Bob,Davie,2016,9,4,0,New Mexico
Bob,Davie,2017,3,9,0,New Mexico
Bob,Davie,2018,3,9,0,New Mexico
Bob,Davie,2019,2,10,0,New Mexico
Brad,Davis,2021,0,1,0,LSU
Butch,Davis,2000,11,1,0,Miami
Butch,Davis,2007,4,8,0,North Carolina
Butch,Davis,2008,8,5,0,North Carolina
Butch,Davis,2009,8,5,0,North Carolina
Butch,Davis,2010,8,5,0,North Carolina
Butch,Davis,2017,8,5,0,Florida International
Butch,Davis,2018,9,4,0,Florida International
Butch,Davis,2019,6,7,0,Florida International
Butch,Davis,2020,0,5,0,Florida International
Butch,Davis,2021,1,11,0,Florida International
Ryan,Day,2018,3,0,0,Ohio State
Ryan,Day,2019,13,1,0,Ohio State
Ryan,Day,2020,7,1,0,Ohio State
Ryan,Day,2021,11,2,0,Ohio State
Ryan,Day,2022,0,0,0,Ohio State
Fisher,DeBerry,2000,9,3,0,Air Force
Fisher,DeBerry,2001,6,6,0,Air Force
Fisher,DeBerry,2002,8,5,0,Air Force
Fisher,DeBerry,2003,7,5,0,Air Force
Fisher,DeBerry,2004,5,6,0,Air Force
Fisher,DeBerry,2005,4,7,0,Air Force
Fisher,DeBerry,2006,4,8,0,Air Force
Kalen,DeBoer,2020,3,3,0,Fresno State
Kalen,DeBoer,2021,9,3,0,Fresno State
Kalen,DeBoer,2022,0,0,0,Washington
Mike,DeBord,2000,2,9,0,Central Michigan
Mike,DeBord,2001,3,8,0,Central Michigan
Mike,DeBord,2002,4,8,0,Central Michigan
Mike,DeBord,2003,3,9,0,Central Michigan
Mick,Dennehy,2000,5,6,0,Utah State
Mick,Dennehy,2001,4,7,0,Utah State
Mick,Dennehy,2002,4,7,0,Utah State
Mick,Dennehy,2003,3,9,0,Utah State
Mick,Dennehy,2004,3,8,0,Utah State
Tim,DeRuyter,2011,1,0,0,Texas A&M
Tim,DeRuyter,2012,9,4,0,Fresno State
Tim,DeRuyter,2013,11,2,0,Fresno State
Tim,DeRuyter,2014,6,8,0,Fresno State
Tim,DeRuyter,2015,3,9,0,Fresno State
Tim,DeRuyter,2016,1,7,0,Fresno State
Michael,Desormeaux,2021,1,0,0,Louisiana
Michael,Desormeaux,2022,0,0,0,Louisiana
Bob,Diaco,2014,2,12,0,Connecticut
Bob,Diaco,2015,6,7,0,Connecticut
Bob,Diaco,2016,3,9,0,Connecticut
Manny,Diaz,2019,6,7,0,Miami
Manny,Diaz,2020,8,3,0,Miami
Manny,Diaz,2021,7,5,0,Miami
Jake,Dickert,2021,3,3,0,Washington State
Jake,Dickert,2022,0,0,0,Washington State
Darrell,Dickey,2000,3,8,0,North Texas
Darrell,Dickey,2001,5,7,0,North Texas
Darrell,Dickey,2002,8,5,0,North Texas
Darrell,Dickey,2003,9,4,0,North Texas
Darrell,Dickey,2004,7,5,0,North Texas
Darrell,Dickey,2005,2,9,0,North Texas
Darrell,Dickey,2006,3,9,0,North Texas
Dana,Dimel,2000,3,8,0,Houston
Dana,Dimel,2001,0,11,0,Houston
Dana,Dimel,2002,5,7,0,Houston
Dana,Dimel,2018,1,11,0,UTEP
Dana,Dimel,2019,1,11,0,UTEP
Dana,Dimel,2020,3,5,0,UTEP
Dana,Dimel,2021,7,6,0,UTEP
Dana,Dimel,2022,0,0,0,UTEP
Gerry,DiNardo,2002,3,9,0,Indiana
Gerry,DiNardo,2003,2,10,0,Indiana
Gerry,DiNardo,2004,3,8,0,Indiana
Bill,Doba,2003,10,3,0,Washington State
Bill,Doba,2004,5,6,0,Washington State
Bill,Doba,2005,4,7,0,Washington State
Bill,Doba,2006,6,6,0,Washington State
Bill,Doba,2007,5,7,0,Washington State
Todd,Dodge,2007,2,10,0,North Texas
Todd,Dodge,2008,1,11,0,North Texas
Todd,Dodge,2009,2,10,0,North Texas
Todd,Dodge,2010,1,6,0,North Texas
Dave,Doeren,2011,11,3,0,Northern Illinois
Dave,Doeren,2012,12,1,0,Northern Illinois
Dave,Doeren,2013,3,9,0,NC State
Dave,Doeren,2014,8,5,0,NC State
Dave,Doeren,2015,7,6,0,NC State
Dave,Doeren,2016,7,6,0,NC State
Dave,Doeren,2017,9,4,0,NC State
Dave,Doeren,2018,9,4,0,NC State
Dave,Doeren,2019,4,8,0,NC State
Dave,Doeren,2020,8,4,0,NC State
Dave,Doeren,2021,9,3,0,NC State
Dave,Doeren,2022,0,0,0,NC State
Jim,Donnan,2000,8,4,0,Georgia
Derek,Dooley,2007,5,7,0,Louisiana Tech
Derek,Dooley,2008,8,5,0,Louisiana Tech
Derek,Dooley,2009,4,8,0,Louisiana Tech
Derek,Dooley,2010,6,7,0,Tennessee
Derek,Dooley,2011,5,7,0,Tennessee
Derek,Dooley,2012,4,7,0,Tennessee
Karl,Dorrell,2003,6,7,0,UCLA
Karl,Dorrell,2004,6,6,0,UCLA
Karl,Dorrell,2005,10,2,0,UCLA
Karl,Dorrell,2006,7,6,0,UCLA
Karl,Dorrell,2007,6,6,0,UCLA
Karl,Dorrell,2020,4,2,0,Colorado
Karl,Dorrell,2021,4,8,0,Colorado
Karl,Dorrell,2022,0,0,0,Colorado
Stan,Drayton,2022,0,0,0,Temple
Eli,Drinkwitz,2019,12,1,0,Appalachian State
Eli,Drinkwitz,2020,5,5,0,Missouri
Eli,Drinkwitz,2021,6,7,0,Missouri
Eli,Drinkwitz,2022,0,0,0,Missouri
Mike,DuBose,2000,3,8,0,Alabama
D.J.,Durkin,2014,1,0,0,Florida
D.J.,Durkin,2016,6,7,0,Maryland
D.J.,Durkin,2017,4,8,0,Maryland
Sonny,Dykes,2010,5,7,0,Louisiana Tech
Sonny,Dykes,2011,8,5,0,Louisiana Tech
Sonny,Dykes,2012,9,3,0,Louisiana Tech
Sonny,Dykes,2013,1,11,0,California
Sonny,Dykes,2014,5,7,0,California
Sonny,Dykes,2015,8,5,0,California
Sonny,Dykes,2016,5,7,0,California
Sonny,Dykes,2018,5,7,0,SMU
Sonny,Dykes,2019,10,3,0,SMU
Sonny,Dykes,2020,7,3,0,SMU
Sonny,Dykes,2021,8,4,0,SMU
Sonny,Dykes,2022,0,0,0,TCU
Randy,Edsall,2000,3,8,0,Connecticut
Randy,Edsall,2001,2,9,0,Connecticut
Randy,Edsall,2002,6,6,0,Connecticut
Randy,Edsall,2003,9,3,0,Connecticut
Randy,Edsall,2004,8,4,0,Connecticut
Randy,Edsall,2005,5,6,0,Connecticut
Randy,Edsall,2006,4,8,0,Connecticut
Randy,Edsall,2007,9,4,0,Connecticut
Randy,Edsall,2008,8,5,0,Connecticut
Randy,Edsall,2009,8,5,0,Connecticut
Randy,Edsall,2010,8,5,0,Connecticut
Randy,Edsall,2011,2,10,0,Maryland
Randy,Edsall,2012,4,8,0,Maryland
Randy,Edsall,2013,7,6,0,Maryland
Randy,Edsall,2014,7,6,0,Maryland
Randy,Edsall,2015,2,4,0,Maryland
Randy,Edsall,2017,3,9,0,Connecticut
Randy,Edsall,2018,1,11,0,Connecticut
Randy,Edsall,2019,2,10,0,Connecticut
Randy,Edsall,2020,0,0,0,Connecticut
Randy,Edsall,2021,0,2,0,Connecticut
Herm,Edwards,2018,7,6,0,Arizona State
Herm,Edwards,2019,8,5,0,Arizona State
Herm,Edwards,2020,2,2,0,Arizona State
Herm,Edwards,2021,8,5,0,Arizona State
Herm,Edwards,2022,0,0,0,Arizona State
LaVell,Edwards,2000,6,6,0,BYU
Mike,Elko,2022,0,0,0,Duke
Rich,Ellerson,2009,5,7,0,Army
Rich,Ellerson,2010,7,6,0,Army
Rich,Ellerson,2011,3,9,0,Army
Rich,Ellerson,2012,2,10,0,Army
Rich,Ellerson,2013,3,9,0,Army
Shawn,Elliott,2015,1,5,0,South Carolina
Shawn,Elliott,2017,7,5,0,Georgia State
Shawn,Elliott,2018,2,10,0,Georgia State
Shawn,Elliott,2019,7,6,0,Georgia State
Shawn,Elliott,2020,6,4,0,Georgia State
Shawn,Elliott,2021,8,5,0,Georgia State
Shawn,Elliott,2022,0,0,0,Georgia State
Tony,Elliott,2022,0,0,0,Virginia
David,Elson,2007,7,5,0,Western Kentucky
David,Elson,2008,2,10,0,Western Kentucky
David,Elson,2009,0,12,0,Western Kentucky
Jon,Embree,2011,3,10,0,Colorado
Jon,Embree,2012,1,11,0,Colorado
Ron,English,2009,0,12,0,Eastern Michigan
Ron,English,2010,2,10,0,Eastern Michigan
Ron,English,2011,6,6,0,Eastern Michigan
Ron,English,2012,2,10,0,Eastern Michigan
Ron,English,2013,1,8,0,Eastern Michigan
Dan,Enos,2010,3,9,0,Central Michigan
Dan,Enos,2011,3,9,0,Central Michigan
Dan,Enos,2012,7,6,0,Central Michigan
Dan,Enos,2013,6,6,0,Central Michigan
Dan,Enos,2014,7,6,0,Central Michigan
Dennis,Erickson,2000,11,1,0,Oregon State
Dennis,Erickson,2001,5,6,0,Oregon State
Dennis,Erickson,2002,8,5,0,Oregon State
Dennis,Erickson,2006,4,8,0,Idaho
Dennis,Erickson,2007,10,3,0,Arizona State
Dennis,Erickson,2008,5,7,0,Arizona State
Dennis,Erickson,2009,4,8,0,Arizona State
Dennis,Erickson,2010,6,6,0,Arizona State
Dennis,Erickson,2011,6,7,0,Arizona State
Steve,Fairchild,2008,7,6,0,Colorado State
Steve,Fairchild,2009,3,9,0,Colorado State
Steve,Fairchild,2010,3,9,0,Colorado State
Steve,Fairchild,2011,3,9,0,Colorado State
Larry,Fedora,2008,7,6,0,Southern Mississippi
Larry,Fedora,2009,7,6,0,Southern Mississippi
Larry,Fedora,2010,8,5,0,Southern Mississippi
Larry,Fedora,2011,12,2,0,Southern Mississippi
Larry,Fedora,2012,8,4,0,North Carolina
Larry,Fedora,2013,7,6,0,North Carolina
Larry,Fedora,2014,6,7,0,North Carolina
Larry,Fedora,2015,11,3,0,North Carolina
Larry,Fedora,2016,8,5,0,North Carolina
Larry,Fedora,2017,3,9,0,North Carolina
Larry,Fedora,2018,2,9,0,North Carolina
Kirk,Ferentz,2000,3,9,0,Iowa
Kirk,Ferentz,2001,7,5,0,Iowa
Kirk,Ferentz,2002,11,2,0,Iowa
Kirk,Ferentz,2003,10,3,0,Iowa
Kirk,Ferentz,2004,10,2,0,Iowa
Kirk,Ferentz,2005,7,5,0,Iowa
Kirk,Ferentz,2006,6,7,0,Iowa
Kirk,Ferentz,2007,6,6,0,Iowa
Kirk,Ferentz,2008,9,4,0,Iowa
Kirk,Ferentz,2009,11,2,0,Iowa
Kirk,Ferentz,2010,8,5,0,Iowa
Kirk,Ferentz,2011,7,6,0,Iowa
Kirk,Ferentz,2012,4,8,0,Iowa
Kirk,Ferentz,2013,8,5,0,Iowa
Kirk,Ferentz,2014,7,6,0,Iowa
Kirk,Ferentz,2015,12,2,0,Iowa
Kirk,Ferentz,2016,8,5,0,Iowa
Kirk,Ferentz,2017,8,5,0,Iowa
Kirk,Ferentz,2018,9,4,0,Iowa
Kirk,Ferentz,2019,10,3,0,Iowa
Kirk,Ferentz,2020,6,2,0,Iowa
Kirk,Ferentz,2021,10,4,0,Iowa
Kirk,Ferentz,2022,0,0,0,Iowa
Luke,Fickell,2011,6,7,0,Ohio State
Luke,Fickell,2017,4,8,0,Cincinnati
Luke,Fickell,2018,11,2,0,Cincinnati
Luke,Fickell,2019,11,3,0,Cincinnati
Luke,Fickell,2020,9,1,0,Cincinnati
Luke,Fickell,2021,13,1,0,Cincinnati
Luke,Fickell,2022,0,0,0,Cincinnati
Jedd,Fisch,2017,1,1,0,UCLA
Jedd,Fisch,2021,1,11,0,Arizona
Jedd,Fisch,2022,0,0,0,Arizona
Jimbo,Fisher,2010,10,4,0,Florida State
Jimbo,Fisher,2011,9,4,0,Florida State
Jimbo,Fisher,2012,12,2,0,Florida State
Jimbo,Fisher,2013,14,0,0,Florida State
Jimbo,Fisher,2014,13,1,0,Florida State
Jimbo,Fisher,2015,10,3,0,Florida State
Jimbo,Fisher,2016,10,3,0,Florida State
Jimbo,Fisher,2017,5,6,0,Florida State
Jimbo,Fisher,2018,9,4,0,Texas A&M
Jimbo,Fisher,2019,8,5,0,Texas A&M
Jimbo,Fisher,2020,9,1,0,Texas A&M
Jimbo,Fisher,2021,8,4,0,Texas A&M
Jimbo,Fisher,2022,0,0,0,Texas A&M
Todd,Fitch,2020,0,1,0,Vanderbilt
Pat,Fitzgerald,2006,4,8,0,Northwestern
Pat,Fitzgerald,2007,6,6,0,Northwestern
Pat,Fitzgerald,2008,9,4,0,Northwestern
Pat,Fitzgerald,2009,8,5,0,Northwestern
Pat,Fitzgerald,2010,7,6,0,Northwestern
Pat,Fitzgerald,2011,6,7,0,Northwestern
Pat,Fitzgerald,2012,10,3,0,Northwestern
Pat,Fitzgerald,2013,5,7,0,Northwestern
Pat,Fitzgerald,2014,5,7,0,Northwestern
Pat,Fitzgerald,2015,10,3,0,Northwestern
Pat,Fitzgerald,2016,7,6,0,Northwestern
Pat,Fitzgerald,2017,10,3,0,Northwestern
Pat,Fitzgerald,2018,9,5,0,Northwestern
Pat,Fitzgerald,2019,3,9,0,Northwestern
Pat,Fitzgerald,2020,7,2,0,Northwestern
Pat,Fitzgerald,2021,3,9,0,Northwestern
Pat,Fitzgerald,2022,0,0,0,Northwestern
P.J.,Fleck,2013,1,11,0,Western Michigan
P.J.,Fleck,2014,8,5,0,Western Michigan
P.J.,Fleck,2015,8,5,0,Western Michigan
P.J.,Fleck,2016,13,1,0,Western Michigan
P.J.,Fleck,2017,5,7,0,Minnesota
P.J.,Fleck,2018,7,6,0,Minnesota
P.J.,Fleck,2019,11,2,0,Minnesota
P.J.,Fleck,2020,3,4,0,Minnesota
P.J.,Fleck,2021,9,4,0,Minnesota
P.J.,Fleck,2022,0,0,0,Minnesota
Kyle,Flood,2012,9,4,0,Rutgers
Kyle,Flood,2013,6,7,0,Rutgers
Kyle,Flood,2014,8,5,0,Rutgers
Kyle,Flood,2015,4,8,0,Rutgers
Ed,Foley,2018,0,1,0,Temple
Dennis,Franchione,2000,10,1,0,TCU
Dennis,Franchione,2001,7,5,0,Alabama
Dennis,Franchione,2002,10,3,0,Alabama
Dennis,Franchione,2003,4,8,0,Texas A&M
Dennis,Franchione,2004,7,5,0,Texas A&M
Dennis,Franchione,2005,5,6,0,Texas A&M
Dennis,Franchione,2006,9,4,0,Texas A&M
Dennis,Franchione,2007,7,6,0,Texas A&M
Dennis,Franchione,2012,4,8,0,Texas State
Dennis,Franchione,2013,6,6,0,Texas State
Dennis,Franchione,2014,7,5,0,Texas State
Dennis,Franchione,2015,3,9,0,Texas State
James,Franklin,2011,6,7,0,Vanderbilt
James,Franklin,2012,9,4,0,Vanderbilt
James,Franklin,2013,9,4,0,Vanderbilt
James,Franklin,2014,7,6,0,Penn State
James,Franklin,2015,7,6,0,Penn State
James,Franklin,2016,11,3,0,Penn State
James,Franklin,2017,11,2,0,Penn State
James,Franklin,2018,9,4,0,Penn State
James,Franklin,2019,11,2,0,Penn State
James,Franklin,2020,4,5,0,Penn State
James,Franklin,2021,7,6,0,Penn State
James,Franklin,2022,0,0,0,Penn State
Carl,Franks,2000,0,11,0,Duke
Carl,Franks,2001,0,11,0,Duke
Carl,Franks,2002,2,10,0,Duke
Carl,Franks,2003,2,5,0,Duke
Marcus,Freeman,2021,0,1,0,Notre Dame
Marcus,Freeman,2022,0,0,0,Notre Dame
Hugh,Freeze,2011,10,3,0,Arkansas State
Hugh,Freeze,2012,7,6,0,Ole Miss
Hugh,Freeze,2013,8,5,0,Ole Miss
Hugh,Freeze,2014,9,4,0,Ole Miss
Hugh,Freeze,2015,10,3,0,Ole Miss
Hugh,Freeze,2016,5,7,0,Ole Miss
Hugh,Freeze,2019,8,5,0,Liberty
Hugh,Freeze,2020,10,1,0,Liberty
Hugh,Freeze,2021,8,5,0,Liberty
Hugh,Freeze,2022,0,0,0,Liberty
Ralph,Friedgen,2001,10,2,0,Maryland
Ralph,Friedgen,2002,11,3,0,Maryland
Ralph,Friedgen,2003,10,3,0,Maryland
Ralph,Friedgen,2004,5,6,0,Maryland
Ralph,Friedgen,2005,5,6,0,Maryland
Ralph,Friedgen,2006,9,4,0,Maryland
Ralph,Friedgen,2007,6,7,0,Maryland
Ralph,Friedgen,2008,8,5,0,Maryland
Ralph,Friedgen,2009,2,10,0,Maryland
Ralph,Friedgen,2010,9,4,0,Maryland
Willie,Fritz,2014,9,3,0,Georgia Southern
Willie,Fritz,2015,9,4,0,Georgia Southern
Willie,Fritz,2016,4,8,0,Tulane
Willie,Fritz,2017,5,7,0,Tulane
Willie,Fritz,2018,7,6,0,Tulane
Willie,Fritz,2019,7,6,0,Tulane
Willie,Fritz,2020,6,6,0,Tulane
Willie,Fritz,2021,2,10,0,Tulane
Willie,Fritz,2022,0,0,0,Tulane
Scott,Frost,2016,6,7,0,UCF
Scott,Frost,2017,13,0,0,UCF
Scott,Frost,2018,4,8,0,Nebraska
Scott,Frost,2019,5,7,0,Nebraska
Scott,Frost,2020,3,5,0,Nebraska
Scott,Frost,2021,3,9,0,Nebraska
Scott,Frost,2022,0,0,0,Nebraska
Justin,Fuente,2012,4,8,0,Memphis
Justin,Fuente,2013,3,9,0,Memphis
Justin,Fuente,2014,10,3,0,Memphis
Justin,Fuente,2015,9,3,0,Memphis
Justin,Fuente,2016,10,4,0,Virginia Tech
Justin,Fuente,2017,9,4,0,Virginia Tech
Justin,Fuente,2018,6,7,0,Virginia Tech
Justin,Fuente,2019,8,5,0,Virginia Tech
Justin,Fuente,2020,5,6,0,Virginia Tech
Justin,Fuente,2021,5,5,0,Virginia Tech
Phillip,Fulmer,2000,8,4,0,Tennessee
Phillip,Fulmer,2001,11,2,0,Tennessee
Phillip,Fulmer,2002,8,5,0,Tennessee
Phillip,Fulmer,2003,10,3,0,Tennessee
Phillip,Fulmer,2004,10,3,0,Tennessee
Phillip,Fulmer,2005,5,6,0,Tennessee
Phillip,Fulmer,2006,9,4,0,Tennessee
Phillip,Fulmer,2007,10,4,0,Tennessee
Phillip,Fulmer,2008,5,7,0,Tennessee
Chan,Gailey,2002,7,6,0,Georgia Tech
Chan,Gailey,2003,7,6,0,Georgia Tech
Chan,Gailey,2004,7,5,0,Georgia Tech
Chan,Gailey,2005,7,5,0,Georgia Tech
Chan,Gailey,2006,9,5,0,Georgia Tech
Chan,Gailey,2007,7,5,0,Georgia Tech
Jeff,Genyk,2004,4,7,0,Eastern Michigan
Jeff,Genyk,2005,4,7,0,Eastern Michigan
Jeff,Genyk,2006,1,11,0,Eastern Michigan
Jeff,Genyk,2007,4,8,0,Eastern Michigan
Jeff,Genyk,2008,3,9,0,Eastern Michigan
David,Gibbs,2014,1,0,0,Houston
Keith,Gilbertson,2003,6,6,0,Washington
Keith,Gilbertson,2004,1,10,0,Washington
Turner,Gill,2006,2,10,0,Buffalo
Turner,Gill,2007,5,7,0,Buffalo
Turner,Gill,2008,8,6,0,Buffalo
Turner,Gill,2009,5,7,0,Buffalo
Turner,Gill,2010,3,9,0,Kansas
Turner,Gill,2011,2,10,0,Kansas
Turner,Gill,2018,6,6,0,Liberty
Joe,Glenn,2003,4,8,0,Wyoming
Joe,Glenn,2004,7,5,0,Wyoming
Joe,Glenn,2005,4,7,0,Wyoming
Joe,Glenn,2006,6,6,0,Wyoming
Joe,Glenn,2007,5,7,0,Wyoming
Joe,Glenn,2008,4,8,0,Wyoming
Al,Golden,2006,1,11,0,Temple
Al,Golden,2007,4,8,0,Temple
Al,Golden,2008,5,7,0,Temple
Al,Golden,2009,9,4,0,Temple
Al,Golden,2010,8,4,0,Temple
Al,Golden,2011,6,6,0,Miami
Al,Golden,2012,7,5,0,Miami
Al,Golden,2013,9,4,0,Miami
Al,Golden,2014,6,7,0,Miami
Al,Golden,2015,4,3,0,Miami
Danny,Gonzales,2020,2,5,0,New Mexico
Danny,Gonzales,2021,3,9,0,New Mexico
Danny,Gonzales,2022,0,0,0,New Mexico
Alan,Gooch,2003,0,2,0,UCF
Todd,Graham,2006,7,6,0,Rice
Todd,Graham,2007,10,4,0,Tulsa
Todd,Graham,2008,11,3,0,Tulsa
Todd,Graham,2009,5,7,0,Tulsa
Todd,Graham,2010,10,3,0,Tulsa
Todd,Graham,2011,6,6,0,Pittsburgh
Todd,Graham,2012,8,5,0,Arizona State
Todd,Graham,2013,10,4,0,Arizona State
Todd,Graham,2014,10,3,0,Arizona State
Todd,Graham,2015,6,7,0,Arizona State
Todd,Graham,2016,5,7,0,Arizona State
Todd,Graham,2017,7,6,0,Arizona State
Todd,Graham,2020,5,4,0,Hawai'i
Todd,Graham,2021,6,7,0,Hawai'i
Bob,Gregory,2021,0,3,0,Washington
Jim,Grobe,2000,7,4,0,Ohio
Jim,Grobe,2001,6,5,0,Wake Forest
Jim,Grobe,2002,7,6,0,Wake Forest
Jim,Grobe,2003,5,7,0,Wake Forest
Jim,Grobe,2004,4,7,0,Wake Forest
Jim,Grobe,2005,4,7,0,Wake Forest
Jim,Grobe,2006,11,3,0,Wake Forest
Jim,Grobe,2007,9,4,0,Wake Forest
Jim,Grobe,2008,8,5,0,Wake Forest
Jim,Grobe,2009,5,7,0,Wake Forest
Jim,Grobe,2010,3,9,0,Wake Forest
Jim,Grobe,2011,6,7,0,Wake Forest
Jim,Grobe,2012,5,7,0,Wake Forest
Jim,Grobe,2013,4,8,0,Wake Forest
Jim,Grobe,2016,7,6,0,Baylor
Al,Groh,2001,5,7,0,Virginia
Al,Groh,2002,9,5,0,Virginia
Al,Groh,2003,8,5,0,Virginia
Al,Groh,2004,8,4,0,Virginia
Al,Groh,2005,7,5,0,Virginia
Al,Groh,2006,5,7,0,Virginia
Al,Groh,2007,9,4,0,Virginia
Al,Groh,2008,5,7,0,Virginia
Al,Groh,2009,3,9,0,Virginia
Lance,Guidry,2010,1,0,0,Miami (OH)
Mike,Gundy,2005,4,7,0,Oklahoma State
Mike,Gundy,2006,7,6,0,Oklahoma State
Mike,Gundy,2007,7,6,0,Oklahoma State
Mike,Gundy,2008,9,4,0,Oklahoma State
Mike,Gundy,2009,9,4,0,Oklahoma State
Mike,Gundy,2010,11,2,0,Oklahoma State
Mike,Gundy,2011,12,1,0,Oklahoma State
Mike,Gundy,2012,8,5,0,Oklahoma State
Mike,Gundy,2013,10,3,0,Oklahoma State
Mike,Gundy,2014,7,6,0,Oklahoma State
Mike,Gundy,2015,10,3,0,Oklahoma State
Mike,Gundy,2016,10,3,0,Oklahoma State
Mike,Gundy,2017,10,3,0,Oklahoma State
Mike,Gundy,2018,7,6,0,Oklahoma State
Mike,Gundy,2019,8,5,0,Oklahoma State
Mike,Gundy,2020,8,3,0,Oklahoma State
Mike,Gundy,2021,12,2,0,Oklahoma State
Mike,Gundy,2022,0,0,0,Oklahoma State
Brent,Guy,2005,3,8,0,Utah State
Brent,Guy,2006,1,11,0,Utah State
Brent,Guy,2007,2,10,0,Utah State
Brent,Guy,2008,3,9,0,Utah State
Paul,Hackett,2000,5,7,0,USC
Jeff,Hafley,2020,6,5,0,Boston College
Jeff,Hafley,2021,6,6,0,Boston College
Jeff,Hafley,2022,0,0,0,Boston College
Odell,Haggins,2017,2,0,0,Florida State
Odell,Haggins,2019,2,2,0,Florida State
Brandon,Hall,2021,0,1,0,Troy
Cory,Hall,2017,0,6,0,Oregon State
Will,Hall,2021,3,9,0,Southern Mississippi
Will,Hall,2022,0,0,0,Southern Mississippi
Thomas,Hammock,2019,5,7,0,Northern Illinois
Thomas,Hammock,2020,0,6,0,Northern Illinois
Thomas,Hammock,2021,9,5,0,Northern Illinois
Thomas,Hammock,2022,0,0,0,Northern Illinois
Jim,Harbaugh,2007,4,8,0,Stanford
Jim,Harbaugh,2008,5,7,0,Stanford
Jim,Harbaugh,2009,8,5,0,Stanford
Jim,Harbaugh,2010,12,1,0,Stanford
Jim,Harbaugh,2015,10,3,0,Michigan
Jim,Harbaugh,2016,10,3,0,Michigan
Jim,Harbaugh,2017,8,5,0,Michigan
Jim,Harbaugh,2018,10,3,0,Michigan
Jim,Harbaugh,2019,9,4,0,Michigan
Jim,Harbaugh,2020,2,4,0,Michigan
Jim,Harbaugh,2021,12,2,0,Michigan
Jim,Harbaugh,2022,0,0,0,Michigan
Walt,Harris,2000,7,5,0,Pittsburgh
Walt,Harris,2001,7,5,0,Pittsburgh
Walt,Harris,2002,9,4,0,Pittsburgh
Walt,Harris,2003,8,5,0,Pittsburgh
Walt,Harris,2004,8,4,0,Pittsburgh
Walt,Harris,2005,5,6,0,Stanford
Walt,Harris,2006,1,11,0,Stanford
Bryan,Harsin,2013,7,5,0,Arkansas State
Bryan,Harsin,2014,12,2,0,Boise State
Bryan,Harsin,2015,9,4,0,Boise State
Bryan,Harsin,2016,10,3,0,Boise State
Bryan,Harsin,2017,11,3,0,Boise State
Bryan,Harsin,2018,10,3,0,Boise State
Bryan,Harsin,2019,12,2,0,Boise State
Bryan,Harsin,2020,5,2,0,Boise State
Bryan,Harsin,2021,6,7,0,Auburn
Bryan,Harsin,2022,0,0,0,Auburn
