first_name,last_name,year,wins,losses,ties,school
Tom,Amstutz,2008,3,9,0,Toledo
Gary,Andersen,2009,4,8,0,Utah State
Gary,Andersen,2010,4,8,0,Utah State
Gary,Andersen,2011,7,6,0,Utah State
Gary,Andersen,2012,11,2,0,Utah State
Gary,Andersen,2013,9,4,0,Wisconsin
Gary,Andersen,2014,10,3,0,Wisconsin
Gary,Andersen,2015,2,10,0,Oregon State
Gary,Andersen,2016,4,8,0,Oregon State
Gary,Andersen,2017,1,5,0,Oregon State
Gary,Andersen,2019,7,6,0,Utah State
Gary,Andersen,2020,0,3,0,Utah State
Blake,Anderson,2014,7,6,0,Arkansas State
Blake,Anderson,2015,9,4,0,Arkansas State
Blake,Anderson,2016,8,5,0,Arkansas State
Blake,Anderson,2017,7,5,0,Arkansas State
Blake,Anderson,2018,8,5,0,Arkansas State
Blake,Anderson,2019,8,5,0,Arkansas State
Blake,Anderson,2020,4,7,0,Arkansas State
Blake,Anderson,2021,11,3,0,Utah State
Blake,Anderson,2022,0,0,0,Utah State
Blake,Anderson,2021,0,0,0,Utah State
Major,Applewhite,2016,0,1,0,Houston
Major,Applewhite,2017,7,5,0,Houston
Major,Applewhite,2018,8,5,0,Houston
Dave,Aranda,2020,2,7,0,Baylor
Dave,Aranda,2021,12,2,0,Baylor
Dave,Aranda,2022,0,0,0,Baylor
Marcus,Arroyo,2020,0,6,0,UNLV
Marcus,Arroyo,2021,2,10,0,UNLV
Marcus,Arroyo,2022,0,0,0,UNLV
Tom,Arth,2019,0,12,0,Akron
Tom,Arth,2020,1,5,0,Akron
Tom,Arth,2021,2,7,0,Akron
Chris,Ash,2016,2,10,0,Rutgers
Chris,Ash,2017,4,8,0,Rutgers
Chris,Ash,2018,1,11,0,Rutgers
Chris,Ash,2019,1,3,0,Rutgers
Chris,Ault,2004,5,7,0,Nevada
Chris,Ault,2005,9,3,0,Nevada
Chris,Ault,2006,8,5,0,Nevada
Chris,Ault,2007,6,7,0,Nevada
Chris,Ault,2008,7,6,0,Nevada
Chris,Ault,2009,8,5,0,Nevada
Chris,Ault,2010,13,1,0,Nevada
Chris,Ault,2011,7,6,0,Nevada
Chris,Ault,2012,7,6,0,Nevada
Andy,Avalos,2021,7,5,0,Boise State
Andy,Avalos,2022,0,0,0,Boise State
Dino,Babers,2014,8,6,0,Bowling Green
Dino,Babers,2015,10,3,0,Bowling Green
Dino,Babers,2016,4,8,0,Syracuse
Dino,Babers,2017,4,8,0,Syracuse
Dino,Babers,2018,10,3,0,Syracuse
Dino,Babers,2019,5,7,0,Syracuse
Dino,Babers,2020,1,10,0,Syracuse
Dino,Babers,2021,5,7,0,Syracuse
Dino,Babers,2022,0,0,0,Syracuse
David,Bailiff,2007,3,9,0,Rice
David,Bailiff,2008,10,3,0,Rice
David,Bailiff,2009,2,10,0,Rice
David,Bailiff,2010,4,8,0,Rice
David,Bailiff,2011,4,8,0,Rice
David,Bailiff,2012,7,6,0,Rice
David,Bailiff,2013,10,4,0,Rice
David,Bailiff,2014,8,5,0,Rice
David,Bailiff,2015,5,7,0,Rice
David,Bailiff,2016,3,9,0,Rice
David,Bailiff,2017,1,11,0,Rice
Dave,Baldwin,2000,7,5,0,San José State
Jerry,Baldwin,2000,1,10,0,Louisiana
Jerry,Baldwin,2001,3,8,0,Louisiana
Jeff,Banks,2017,0,1,0,Texas A&M
George,Barlow,2011,1,7,0,New Mexico
Gary,Barnett,2000,3,8,0,Colorado
Gary,Barnett,2001,10,3,0,Colorado
Gary,Barnett,2002,9,5,0,Colorado
