team,stat_name,stat_value,season
Navy,interceptions,4,2004
Rice,interceptionYards,130,2004
Missouri,thirdDowns,197,2004
Mississippi State,fumblesLost,12,2004
Miami (OH),passAttempts,460,2004
Navy,passingTDs,8,2004
California,possessionTime,14630,2004
Buffalo,interceptionYards,77,2004
Wake Forest,fourthDowns,12,2004
Louisiana,puntReturns,26,2004
Rutgers,passAttempts,473,2004
Arizona,fumblesRecovered,21,2004
West Virginia,interceptions,11,2004
South Carolina,penalties,0,2004
Kansas State,thirdDowns,146,2004
Stanford,passingTDs,9,2004
Northern Illinois,passesIntercepted,13,2004
Bowling Green,thirdDowns,162,2004
Kansas,passAttempts,420,2004
Rutgers,possessionTime,12206,2004
Washington State,rushingYards,1408,2004
UTEP,fumblesRecovered,12,2004
Texas Tech,rushingYards,1104,2004
Notre Dame,passAttempts,362,2004
Oklahoma,games,13,2004
South Carolina,interceptions,15,2004
Iowa State,passAttempts,351,2004
Florida,games,12,2004
Colorado State,passCompletions,209,2004
Penn State,rushingAttempts,327,2004
Missouri,fumblesRecovered,9,2004
Oklahoma State,fourthDowns,18,2004
Bowling Green,rushingAttempts,432,2004
Kansas State,passesIntercepted,9,2004
Oregon State,fourthDowns,20,2004
East Carolina,passingTDs,18,2004
Florida A&M,rushingYards,323,2004
Cincinnati,turnovers,24,2004
Louisiana Monroe,rushingYards,1538,2004
North Texas,turnovers,14,2004
East Carolina,games,11,2004
Eastern Michigan,rushingTDs,13,2004
East Carolina,rushingTDs,7,2004
UCF,passAttempts,302,2004
Maryland,thirdDownConversions,63,2004
Minnesota,penalties,0,2004
Utah,puntReturnTDs,1,2004
Notre Dame,fumblesLost,6,2004
Troy,thirdDowns,167,2004
Michigan,thirdDownConversions,79,2004
Alabama,fourthDownConversions,4,2004
West Virginia,rushingYards,3034,2004
Northern Illinois,puntReturnYards,411,2004
Kentucky,fourthDowns,21,2004
Baylor,totalYards,3430,2004
Akron,fumblesRecovered,14,2004
UCLA,interceptionTDs,2,2004
Georgia Tech,fumblesRecovered,7,2004
Kent State,puntReturnYards,272,2004
Iowa,interceptionTDs,1,2004
Hawai'i,games,13,2004
Kentucky,interceptions,11,2004
Washington State,puntReturnYards,439,2004
Notre Dame,fourthDowns,15,2004
Boston College,passingTDs,20,2004
Ohio,fumblesRecovered,11,2004
Ball State,netPassingYards,2602,2004
Oklahoma State,interceptionYards,167,2004
Tulsa,fumblesRecovered,7,2004
Arizona,interceptionTDs,0,2004
Wisconsin,fourthDowns,26,2004
West Virginia,puntReturnTDs,1,2004
Florida A&M,fourthDowns,0,2004
Colorado,passingTDs,11,2004
Wyoming,firstDowns,252,2004
Texas Tech,thirdDownConversions,81,2004
Tulane,passingTDs,28,2004
Utah State,passAttempts,367,2004
Air Force,fourthDowns,12,2004
Ball State,puntReturns,20,2004
BYU,fumblesRecovered,7,2004
Akron,puntReturnYards,275,2004
Louisville,netPassingYards,3562,2004
Louisiana Monroe,games,11,2004
Ohio,possessionTime,11217,2004
Purdue,totalYards,5358,2004
Middle Tennessee,fumblesRecovered,14,2004
Florida A&M,turnovers,10,2004
Arkansas State,turnovers,29,2004
Virginia Tech,fourthDownConversions,3,2004
Maryland,puntReturnYards,211,2004
Army,firstDowns,199,2004
UCLA,fourthDownConversions,7,2004
New Mexico,passesIntercepted,13,2004
Akron,possessionTime,11661,2004
Kent State,firstDowns,234,2004
Pittsburgh,penaltyYards,0,2004
Purdue,passCompletions,297,2004
Central Michigan,possessionTime,11962,2004
UAB,interceptions,7,2004
Marshall,puntReturnTDs,1,2004
Arkansas State,totalYards,3940,2004
Indiana,netPassingYards,2113,2004
Washington,totalYards,3421,2004
Rice,turnovers,24,2004
Stanford,possessionTime,11300,2004
West Virginia,rushingTDs,13,2004
Indiana,passingTDs,13,2004
Florida,turnovers,21,2004
Syracuse,turnovers,23,2004
Louisiana,possessionTime,11895,2004
Boston College,fumblesLost,10,2004
Southern Mississippi,rushingYards,1739,2004
Kentucky,thirdDownConversions,40,2004
BYU,games,11,2004
Oregon State,puntReturnTDs,0,2004
Oklahoma,puntReturns,57,2004
Idaho,penaltyYards,0,2004
Illinois,interceptionYards,192,2004
Oklahoma State,passesIntercepted,11,2004
Auburn,passAttempts,308,2004
Georgia Tech,interceptionYards,99,2004
Iowa State,passesIntercepted,17,2004
New Mexico State,netPassingYards,2811,2004
UTEP,puntReturnYards,335,2004
Florida A&M,thirdDowns,0,2004
Arkansas,possessionTime,11861,2004
USC,puntReturns,48,2004
California,firstDowns,291,2004
Vanderbilt,fourthDowns,11,2004
Navy,games,12,2004
Arkansas,totalYards,4377,2004
Tennessee,penaltyYards,0,2004
Missouri,turnovers,18,2004
Washington State,fumblesLost,22,2004
Syracuse,passAttempts,284,2004
Duke,puntReturns,11,2004
Duke,netPassingYards,1918,2004
Georgia,passesIntercepted,5,2004
Oregon,interceptionYards,106,2004
Nebraska,rushingYards,1939,2004
Oregon,passingTDs,22,2004
Arizona State,fumblesLost,17,2004
Boise State,interceptionTDs,4,2004
San Diego State,fourthDownConversions,12,2004
Navy,rushingAttempts,689,2004
Miami,netPassingYards,2955,2004
Louisiana,interceptionYards,133,2004
Colorado State,penaltyYards,0,2004
NC State,thirdDownConversions,51,2004
Rutgers,interceptionYards,104,2004
Eastern Michigan,passCompletions,223,2004
South Carolina,turnovers,26,2004
Wisconsin,passAttempts,325,2004
Oklahoma,interceptions,9,2004
Iowa,passAttempts,385,2004
Penn State,passingTDs,9,2004
Illinois,games,11,2004
Buffalo,rushingYards,1266,2004
Penn State,totalYards,3105,2004
New Mexico,rushingAttempts,526,2004
Bowling Green,penaltyYards,0,2004
East Carolina,penalties,0,2004
Air Force,passesIntercepted,9,2004
Texas Tech,firstDowns,319,2004
San Diego State,penalties,0,2004
Arizona,passingTDs,4,2004
Washington,puntReturnTDs,0,2004
UCF,passesIntercepted,10,2004
California,thirdDownConversions,65,2004
Oregon State,penaltyYards,0,2004
Tulsa,interceptions,16,2004
North Texas,fourthDowns,7,2004
Houston,puntReturns,20,2004
TCU,turnovers,14,2004
Michigan,passesIntercepted,16,2004
Texas Tech,games,12,2004
Colorado,interceptionYards,205,2004
Kansas State,totalYards,3629,2004
Texas A&M,interceptionYards,111,2004
Vanderbilt,puntReturnYards,96,2004
UNLV,puntReturns,27,2004
Mississippi State,interceptionTDs,1,2004
Maryland,netPassingYards,2199,2004
Florida State,interceptions,15,2004
Washington,puntReturns,38,2004
Arkansas State,rushingAttempts,400,2004
